Index,Date,Time,GOES,Pos_X,Pos_Y,Stereo,H,T_vth,E_break,gamma,T_vth_kappa,T_kappa,kappa,d_max,d_com,A,F_th,F_nth,tau_cross,tau_loss,n,goes_corr_high,goes_corr_low,goes_lag_high,goes_lag_low,gamma_err,kappa_err,level
12,2013 May 12,22:41:06,M1.3,-945.362,167.314, C5.4,12.6061620712,26.620219678,19.4749348958,6.83639931679,22.6823180369,19.8622288674,7.53839739164,0.127732872963,0.393533557653,1.89204290761e+18,846758.759795,981802.271566,0.18936277926,0.82090539037,14498334203.8,,,,,0.742216972384,0.351245437359,1.3e-05
13,2013 May 13,01:59:15,X1.7,-938.023,192.241, X1.5,13.2997808456,28.6481460661,19.919424057,5.79479585375,16.058083505,21.5825743791,7.31020566395,0.852323412895,0.713669836521,1.63765055156e+18,2136076.7522,1786939.83921,0.176173165441,0.472392995456,25194617222.9,0.704816043377,0.874259054661,4.0,0.0,0.204891071152,0.525634624664,0.00017
14,2013 Jul 29,23:25:48,C6.3,963.547,-97.8008, C9.3,,17.6279343128,13.4574600856,8.38323609034,,,,,,1.78074621748e+18,99784.5716768,7233064.11198,0.183708876371,2.06130378534,5773899404.79,,,,,0.0849815941117,,6.3e-06
15,2013 Aug 22,05:11:32,C3.3,962.342,-83.7553, C7.6,7.46308612823,20.1630836223,,,,,,,,1.22956282518e+18,,,0.152652710676,1.74183885425,6832871290.16,,,,,,,3.3e-06
16,2013 Oct 14,21:46:13,C3.0,-970.388,184.142, C6.9,20.1370925903,22.9266170727,,,,,,,,1.69064893616e+18,,,0.179001167417,2.71130423856,4389680999.28,,,,,,,3e-06
17,2013 Nov 15,10:00:08,C1.8,-926.215,253.709, M2.2,24.0521774292,23.6067874838,,,,,,,,1.48925510216e+18,,,0.168001711369,5.08505914327,2340535353.47,,,,,,,1.8e-06
18,2013 Dec 25,18:56:52,B9.3,965.362,-285.415, C1.0,8.80026435852,23.713515085,,,,,,,,5.04544775363e+18,,,0.309228122234,12.8080646169,929239588.906,,,,,,,9.3e-07
19,2013 Dec 31,04:45:44,C1.4,-967.283,-89.2099, C3.7,24.0296993256,25.8597051294,,,,,,,,1.59525187137e+18,,,0.17387765646,7.1225659108,1670993410.01,,,,,,,1.4e-06
20,2014 Jan 16,15:18:13,C2.8,-908.951,-382.435, NaN,26.1109237671,18.7130740964,12.5816276868,6.70350646973,,,,-2.11757612228,0.41497784853,4.7221572502e+18,119838.122977,3523157.83498,0.299157112837,3.9674909234,2999820523.62,,,,,0.304721343435,,2.8e-06
21,2014 Jan 17,08:28:12,C2.2,-903.089,-400.281, NaN,9.44758319855,19.6886325011,12.9110417366,6.461155653,21.8879537404,6.45021545666,4.74421334267,0.943210363388,1.1472902298,1.56875267906e+18,68353.3682286,1293221.50929,0.172427430749,2.3281535303,5112103022.58,,,,,0.836839561737,2.4380404791,2.2e-06
22,2014 Jan 27,22:09:24,M4.9,-946.787,-260.552, M3.1,1.91485583782,14.8370272324,14.8088684082,6.12786690394,7.4955352865,8.72935102985,6.02447636922,1.37842321396,1.54413056374,9.22172153246e+17,99207168.9955,33962476.4831,0.132201120257,0.0382248696721,3.11361707741e+11,0.767179489136,0.825823307037,0.0,0.0,0.17926163661,0.349470295721,4.9e-05
23,2014 Mar 14,10:09:44,C5.0,942.549,262.697, M1.4,9.35630702972,27.0601495,,,,,,,,1.68534915268e+18,,,0.178720369935,2.67052703364,4456708563.28,0.394990742207,0.478730201721,24.0,0.0,,,5e-06
24,2014 Apr 23,08:38:08,C1.6,943.041,54.2593, C6.4,14.1110124588,33.0630602963,,,,,,,,1.45745598893e+18,,,0.166198402643,6.01535300817,1978563965.09,,0.649764657021,,0.0,,,1.6e-06
25,2014 Apr 25,00:20:36,X1.3,949.295,-237.884, X2.6,11.2885427475,13.8363142889,14.1778173447,3.68006343842,10.1226841447,4.26810639868,2.70208630562,4.40219068527,4.12483501434,1.17126465709e+18,26740201.712,490640.340778,0.148989841342,0.0865637098823,1.37491342682e+11,0.809370040894,0.754443228245,-12.0,-24.0,0.112971253737,0.124258539866,0.00013
26,2014 May 07,06:27:26,C3.6,946.281,-175.559, M2.2,10.9996700287,17.1792618537,13.1706805229,5.92070329189,17.0645607836,7.44526999393,6.03261017799,-0.848964393139,-0.101730972528,1.71714812847e+18,162117.32177,722880.505275,0.180398538709,1.56355819327,7611971687.74,,,,,0.563755369089,0.00781038635398,3.6e-06
27,2014 Jun 08,09:52:08,C2.0,-920.254,-298.321, NaN,37.6688346863,22.24886066,,,,,,,,2.10933636695e+18,,,0.199941083789,5.72411075642,2079233125.59,,,,,,,2e-06
28,2014 Sep 03,13:35:36,M2.5,-940.615,-269.92, M1.7,19.1156311035,21.9811615153,17.088666153,5.87757587433,21.157991835,15.76655188,7.06072759628,2.80279040337,2.85893297195,1.42035709222e+18,1865214.91769,429107.296253,0.164069518447,0.425224413069,27989363577.2,,,,,0.336891293387,0.60635948278,2.5e-05
29,2014 Sep 11,15:23:37,M2.1,-926.66,245.719, M4.3,4.3571767807,26.4764570838,19.3209190369,3.22055077553,26.1518868629,6.5375935579,2.28249392509,0.893910169601,0.893642783165,8.05575679629e+17,1526179.37041,36249.3399364,0.123561255634,0.321857593879,36978343607.9,0.779151618481,0.700478792191,-12.0,-12.0,0.243160381671,0.275660730726,2.1e-05
30,2014 Sep 11,21:25:02,M1.4,-925.908,246.111, M1.7,4.02635765076,23.0309200132,18.0553336143,4.67353069782,18.2398945851,11.1775885841,4.18948727846,-0.706881225109,-1.13992404938,8.74473620846e+17,1036155.21963,340790.522367,0.12873673439,0.401187389472,29666338004.7,0.773753285408,0.603400826454,-4.0,-4.0,0.162617777854,0.196959260554,1.4e-05
31,2014 Oct 02,22:53:43,C3.8,921.504,-280.265, NaN ,,19.3772252895,16.6159452438,4.58782567978,15.1113881663,4.19942326857,4.14184646606,-1.94421625137,-1.89782094955,9.7517053785e+17,236629.22908,36067.2836312,0.135946929455,0.872511068252,13640813431.9,0.335025131702,0.570356309414,20.0,20.0,0.377145438675,0.351317985077,3.8e-06
